주택유형별(1),지역별(1),2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
종합,전국,68.6,66.7,68.8,75.4,81.1,86.8,87.3,88.4,94,93,92.9,94.5,97.8,98.6,100,101.2,100.5,105.3
종합,서울,63.5,62.2,65.1,75.4,84.8,94.8,96,95,95.8,91.6,89.9,90.9,94.8,97,100,106.8,107.3,110.8
종합,경기,67.9,65.1,68.3,81.9,92.2,98.6,97.6,95,96.7,93.2,91.7,93.3,97.5,98.4,100,101.9,101.3,110
종합,인천,65.6,62.3,61.9,67.1,81.4,102.2,101.8,100,98.6,94.7,93.2,94.6,97.7,98.5,100,100.4,100.9,107.6
종합,부산,72.4,69.1,67.7,67.1,67.3,69.6,72,79.2,92.6,90.9,90.4,91.4,94.5,97.3,100,98.7,96.8,100.8
종합,대구,68.7,66.6,70.9,72.7,72,70.9,69.4,70.4,76.5,80.2,86.8,92.8,100.8,99,100,103.4,104.8,109.5
종합,광주,68.1,68.7,71.6,74.1,74.4,75.6,74.8,75.8,88,90.7,91.6,92.7,98.2,98.6,100,103.5,104.4,105.4
종합,대전,79.6,79.3,79.6,78.8,77.8,79,82,88,100,97.1,97.2,98,98.4,98.5,100,102.1,108.4,123.2
종합,울산,57.4,58.1,61.1,70.5,75.9,76.9,78.4,80.8,90.3,94.4,94.4,97.1,100.2,100.9,100,93.8,89.8,94.7
종합,세종,-,-,-,-,-,-,-,-,-,90.7,95.3,95.3,95.2,95.8,100,102.2,100.4,137.6
종합,강원,73.7,76,78.5,79.7,78,78.9,79.6,81,91.1,93.8,93.8,94.1,96.2,97.5,100,98.7,95.7,97.1
종합,충북,70.1,70,73.6,76.2,76.3,77.7,77.7,81.8,92.9,96,97.3,99.6,101,100.3,100,97.7,94.4,97.2
종합,충남,83,81.2,83.8,83.7,84.3,85.8,85.6,86.1,92.4,95.9,98.7,101.1,102.1,100.5,100,98.3,96.5,99
종합,전북,72.2,71.5,72.7,75.3,76,81.4,83.4,89,99.2,100,98.2,97.8,98.1,98.1,100,100.1,98.7,100.3
종합,전남,76.9,74.1,73.5,73.2,75.7,84.5,85.1,88.8,95.6,97.9,96.8,96.1,96.7,97.7,100,102.6,104.7,107
종합,경북,78.1,75.8,78.2,82,84,84.1,82.8,82.6,87.6,91.3,95.9,99.6,102.5,100.9,100,98.2,95.9,96.5
종합,경남,68,68,69.2,69.6,70.5,72.8,74,80.8,98.6,97.8,98.2,100.2,101.9,101.6,100,95.5,91.7,93.1
종합,제주,98.5,82.1,77.8,76.2,74.2,73.6,74.6,78.1,82.2,85.7,85.6,86.6,92.5,98.3,100,101,98.8,96.2
아파트,전국,63.2,62.7,66,73.7,78.5,83.4,83.8,85.1,92.3,90.8,91,93.5,98.1,99,100,100.4,98.2,104.8
아파트,서울,61.6,60.8,65.4,78.2,86.5,94.7,95.3,93.3,93.2,87.4,85.7,87.4,92.9,96.2,100,109.1,108.8,113.1
아파트,경기,66.8,64.6,68.8,84.6,94,99,97.2,93.5,95,90.4,89,91.4,97,98.3,100,101.7,100.2,112.1
아파트,인천,67.1,65.5,65.2,70.5,83,101.2,99.7,96.9,95.2,90.4,89.5,92.4,97,98.4,100,99.7,99.6,108.9
아파트,부산,59.8,58.5,58.1,57.6,58,61.3,64.6,74.3,92,89,88.1,89.5,93.7,97.4,100,96.7,93.2,98.1
아파트,대구,61.7,61.5,66.9,68.5,66.7,64.9,63.2,64.5,73.2,77.8,86.2,93.6,102.8,99.8,100,103,103,108.2
아파트,광주,58.3,60.1,63.5,66,66.4,68.3,67.8,69.6,85.5,89,90.3,91.9,98.8,99.2,100,103.2,103.1,103.5
아파트,대전,75.4,76.9,77.5,76,74.2,75,78.7,85.2,101.1,97.1,97.5,98.3,98.5,98.5,100,102,109.3,128.6
아파트,울산,51.5,53.6,56.7,64.9,71,72.3,73.7,76.9,88.8,94,93.9,97.1,101.1,102.1,100,90.8,86,92.3
아파트,세종,-,-,-,-,-,-,-,-,-,90.3,97.8,96.4,95.4,95.8,100,101,97.8,141.9
아파트,강원,63.7,68.1,71.4,73,70.9,72,72.5,74.3,88.3,91.9,91.8,92.3,95.5,97.4,100,95.8,89.2,90.3
아파트,충북,59.3,62,67,70.3,69.9,71.6,72.5,76.7,92,96,97.2,100.8,103.4,102,100,94.4,88,91.7
아파트,충남,73.3,74,78,77.3,76.9,79.6,79.4,80.5,90.1,95.6,100.1,104.9,106,102.7,100,95.6,92.1,96
아파트,전북,56.3,58.8,61.6,66.2,68.1,74.6,77.8,86.4,101.3,101.7,99,98.4,98.8,98.5,100,98.3,94.3,95.4
아파트,전남,62,61.4,62.2,63.8,67,76.7,78.9,84.1,95.4,99.7,97.6,95.8,96.2,97.8,100,101.7,102,103.3
아파트,경북,63.9,64.4,68.8,75,77.4,76.9,75.1,75.1,82.6,89.3,97.6,104.4,108.9,104.4,100,94.4,88.5,88.6
아파트,경남,60.6,61.7,64.2,65.1,66,69.3,71.2,79.8,102,100,99.9,102.4,104.7,103.8,100,91.7,85.8,87.9
아파트,제주,53.4,53.1,52.9,53.2,54.8,58,59.6,65.3,71.5,79.8,78.8,80.5,90,98.9,100,97.1,93.7,91.4
연립다세대,전국,71.7,67.1,67.2,73.7,83.4,93.5,94.5,95.4,98.7,98.1,96.8,96.9,98.6,99,100,100.8,99.8,100.9
연립다세대,서울,67.5,64.2,64.5,72.1,83.7,96.8,98.3,98.3,100,98.2,95.8,95.4,97.3,98.2,100,103.1,103,104.7
연립다세대,경기,64.2,60.1,62,74.3,88,98.2,99.4,98.6,100.9,99.8,97.8,97.4,98.7,98.9,100,100.9,99.8,101.4
연립다세대,인천,63.1,56.7,55.5,60.7,80.1,108.4,108.5,107.5,106.3,102.6,99.2,97.9,99.1,99,100,100.6,100.7,102.7
