주택유형별(1),지역별(1),2013,2014,2015,2016,2017,2018,2019,2020
종합,전국,94.5,99,100.6,98.3,95.7,90.2,94.6,111.3
종합,서울,81,89.8,99.6,100.8,102,95.1,114.6,113.3
종합,경기,92.1,99.8,100.5,100.6,98.2,97.6,98.7,118.4
종합,인천,79.2,89.2,97.4,96.8,99.9,99.3,98.4,109.3
종합,부산,93.8,99.1,98.2,103.1,83.6,65.3,72.8,107.1
종합,대구,92.5,97.6,97.7,103.6,100.7,100.2,104.1,127.3
종합,광주,99,99,97.7,98.3,103.4,105.4,99,116.9
종합,대전,115.5,111.3,107.3,88.4,89.3,104.7,115.9,120.7
종합,울산,100.1,102.1,106.7,84.3,90.3,63.5,76.9,99.7
종합,세종,102.6,96,93.6,101.5,107.5,101.9,100.5,118.3
종합,강원,97.7,99.3,100.1,99.9,95,85.8,80.1,104.3
종합,충북,101.6,101.6,100.5,97.5,90.1,87.1,75.8,99
종합,충남,101.7,101.8,95.7,92.2,93.4,88.2,92.4,110.9
종합,전북,101.5,93.1,101.6,103.8,100,96.3,87.7,103.3
종합,전남,95.3,99.2,100.2,101.1,99.5,109.3,102.7,110.1
종합,경북,110.6,107.9,97.7,85.6,87.8,73.8,75.4,100.4
종합,경남,101.3,104.7,101.4,93.8,82.7,61.3,66.6,99
종합,제주,95.9,121,147.6,107.4,94.2,83.1,77.1,72
아파트,전국,95.2,100,102.3,98.3,94.4,85.7,93,116.5
아파트,서울,81.9,90.4,101,103.2,104.1,92.9,123.6,117.3
아파트,경기,92.5,101.5,103.7,102.6,97.6,95.6,97.5,124.5
아파트,인천,83,93.5,103.9,99.9,100.5,95.8,95.8,110.4
아파트,부산,94,99.6,101.3,104.8,81.2,54.8,69.5,118.6
아파트,대구,91.7,95.4,97.1,104.2,100.7,96.9,101.9,129
아파트,광주,98.9,98.9,99.8,99.2,102.9,104.4,92.6,117.6
아파트,대전,117.1,111.4,108.3,83.1,85.7,104.4,119,124.9
아파트,울산,100.5,103,109.8,80.4,85.8,55.3,82.4,117.4
아파트,세종,100,92.3,91.6,100.9,101.6,96.9,101.8,121.9
아파트,강원,96.9,99.8,101.8,101,90.9,75.5,66.1,104.5
아파트,충북,101.6,101.9,100.9,96.6,88.4,80,66.1,103.4
아파트,충남,102,102.3,94,89.3,92.7,83.7,90.5,117
아파트,전북,102.2,92.2,102.2,105.1,99.8,94.1,79.8,103.3
아파트,전남,97.7,99.5,100.8,104,97.1,107.9,94.5,106.9
아파트,경북,111.7,110.5,98.2,78.4,84.8,60.8,67.8,100.3
아파트,경남,100.5,105.3,101.9,92.9,79.2,53.6,63.8,104.9
아파트,제주,86.9,131.6,154.1,107.3,81.4,63.7,74.1,81
연립다세대,전국,91.3,94.8,97.1,96.3,95.4,91.5,89.7,97.3
연립다세대,서울,78.2,88,97.7,97.4,99.2,96.1,100,105.8
연립다세대,경기,92.8,94.2,95.4,98.4,97.9,97.8,94,101.8
연립다세대,인천,64.3,75.2,87.2,92.1,96.3,102.9,96.3,101
연립다세대,부산,94,95.8,92.3,95.2,84.8,71,64.3,79.3
연립다세대,대구,98.8,108.3,95.9,102.3,100,99.3,99.7,113.3
연립다세대,광주,100,100,91.8,96.8,105.5,103.8,102.2,107.6
연립다세대,대전,111.3,114.9,108.5,94.6,90.8,100.5,108.1,107.4
연립다세대,울산,98.1,98.7,101.4,87.9,87.1,58.1,64,74
연립다세대,세종,111.9,92.9,87,92.4,101,99,81.1,95.9
연립다세대,강원,97.9,105.7,97.4,95.5,96.4,88.3,82.9,93.8
연립다세대,충북,100.7,101.3,99.7,97.6,87.3,87.3,72.4,77.9
연립다세대,충남,101.9,98.1,96.8,94.3,89.3,92.9,82,84
연립다세대,전북,102.7,90.2,98.2,101.3,94.4,97.4,76.2,80.5
연립다세대,전남,100,99,99.5,95.9,98.9,100.3,100.3,102.9
연립다세대,경북,116.1,105.9,95.9,89.5,89,65.5,58.9,80.4
연립다세대,경남,103.1,95.4,99.4,91.3,79.1,66.3,66.8,83.4
연립다세대,제주,101.1,118.1,138.1,100.6,96.8,80.6,76.4,66.6
단독주택,전국,93.9,97.1,99.1,100.5,100.1,103.4,106.1,111.2
단독주택,서울,80.4,88.6,99.1,99.6,100.7,104.2,122.1,118.9
단독주택,경기,86.9,95.2,97.1,98.2,101.4,105.3,111.4,119.8
단독주택,인천,75.8,78.3,87.4,91.5,102.1,111.3,114.7,117.1
단독주택,부산,90.5,99.1,91.9,106,90.8,96.9,97.8,101.5
단독주택,대구,88.5,100,102.7,102.7,101.2,114.8,117.2,130.3
단독주택,광주,99,99,93.3,96.7,103.9,110.4,124.6,121.1
단독주택,대전,101,104.1,101,106.3,103.5,110.6,115,122.8
단독주택,울산,100,100,102.5,92.6,103.8,88.2,77.2,83.1
단독주택,세종,102,105,101.3,111.3,119.2,109.6,114,130.4
단독주택,강원,100.3,94.5,97.4,100.3,101,101.2,101,108.4
단독주택,충북,101.9,100.3,100,99.8,95.4,104,97.9,102.3
단독주택,충남,100,101,101,101.5,97.5,98,104.4,108.2
단독주택,전북,99.1,96.8,101.8,101.5,102.8,101.1,111.8,114
단독주택,전남,87.9,98.5,99.4,97.6,103.1,116.9,116.2,119.5
단독주택,경북,103.1,97.5,98.1,106.2,93.7,107.5,103.1,111.6
단독주택,경남,106.2,106.9,101.1,100.7,96.6,83.4,77.1,86.7
단독주택,제주,104.1,107.1,148.1,115.2,101.5,100,80,70.7
